team,team_id,player_id,player_name,position,known_name,first_name,last_name,shirtNumber,played_time,appearances,played_games,starts,sub_on,sub_off,offsides,dribbles_successful,dribbles_unsuccessful,keypasses,assists,assists_intentional,assists_second_goal,through_balls,goals_conceded,goals_conceded_penalty,goals_conceded_outside_box,goals_conceded_inside_box,goals,goals_from_inside_box,goals_from_outside_box,goals_right_foot,goals_left_foot,goals_headed,goals_penalty,penalty_taken,shots_total,shots_on_target_include_goals,shots_off_target_include_woodwork,shots_hit_woodwork,shots_blocked,shots_attempts_from_set_pieces,passes_total,passes_total_exc_crosses_and_corners_succesful,passes_total_exc_crosses_and_corners_unsuccesful,passes_open_play,passes_open_play_successful,passes_backward,passes_forward,passes_leftside,passes_rightside,passes_short_successful,passes_short_unsuccessful,passes_long_successful,passes_long_unsuccessful,passes_own_half_successful,passes_own_half_unsuccessful,passes_opposition_half_successful,passes_opposition_half_unsuccessful,crosses_open_play_successful,crosses_open_play_unsuccessful,crosses_and_corners_unsuccessful,crosses_and_corners_successful,corners_won,corners_taken_include_short_corners,corners_into_box_successful,corners_into_box_unsuccessful,duels_total,duels_won,duels_lost,duels_ground_total,duels_ground_won,duels_ground_lost,duels_aerial_total,duels_aerial_won,duels_aerial_lost,tackles_total,tackles_won,tackles_lost,tackles_last_man,clearances,interceptions,recoveries,blocks
Granada CF,5683,219230,Gil Bastião Dias,Midfielder,Gil Dias,Gil,Bastião Dias,17,351,12,12,3,9,2,,8,6,6,1,,,,2,,,2,,,,,,,,,5,3,2,,1,,117,91,26,114,88,20,51,17,29,89,22,2,4,31,7,61,22,1,3,3,1,7,,,,75,33,42,61,28,33,14,5,9,19,14,5,,6,3,23,1
Granada CF,5683,493690,Antonio Cortés Heredia,Forward,Antoñin,Antonio,Cortés Heredia,18,176,8,8,2,6,2,,4,5,2,,,,,,,,,1,1,,1,,,,,2,2,,,1,,28,16,12,28,16,8,11,5,4,16,11,,1,2,3,14,13,,4,4,,1,,,,35,12,23,25,8,17,10,4,6,1,1,,,1,,7,
Granada CF,5683,200599,Domingos de Sousa Coutinho Meneses Duarte,Defender,Domingos Duarte,Domingos de Sousa,Coutinho Meneses Duarte,22,3086,36,36,34,2,2,4,5,2,,1,1,,1,40,4,8,32,3,3,,,1,2,,,10,5,5,1,3,,1253,975,278,1170,923,104,533,366,250,871,132,104,146,698,85,278,193,1,,,1,3,,,,239,135,104,100,56,44,139,79,60,30,19,11,1,151,34,107,24
Granada CF,5683,124097,Rui Tiago Dantas da Silva,Goalkeeper,Rui Silva,Rui Tiago,Dantas da Silva,1,3150,35,35,35,,,,1,,2,,,,,42,4,10,32,,,,,,,,,,,,,,,1158,605,553,603,353,,936,75,147,267,5,338,548,354,85,251,468,,,,,1,,,,11,11,,5,5,,6,6,,2,1,1,,35,2,370,
Granada CF,5683,55315,Víctor Díaz,Defender,,Víctor,Díaz,16,2885,36,36,33,3,6,1,11,14,24,5,3,2,,43,4,10,33,1,,1,1,,,,,11,1,10,,5,,1115,748,367,1065,714,144,590,335,46,638,200,110,167,367,92,406,371,21,85,96,25,16,9,3,5,273,164,109,162,97,65,111,67,44,74,43,31,,86,48,141,23
Granada CF,5683,176278,Aarón Escandell,Goalkeeper,,Aarón,Escandell,13,270,3,3,3,,,,,,,,,,,3,,1,2,,,,,,,,,,,,,,,104,51,53,56,31,,80,14,10,26,,25,53,28,8,23,45,,,,,,,,,1,1,,1,1,,,,,1,1,,,,,47,
Granada CF,5683,218774,Yan Eteki,Midfielder,,Yan,Eteki,8,1501,28,28,18,10,12,,18,12,4,,,,,22,2,3,19,,,,,,,,,6,,6,1,1,,409,316,93,403,310,66,164,70,109,297,75,19,18,122,25,194,68,,,,,1,,,,234,113,121,176,85,91,58,28,30,37,21,16,,18,24,101,4
Granada CF,5683,176189,Carlos Fernández,Forward,,Carlos,Fernández,24,2197,34,34,21,13,6,8,30,24,17,3,3,,5,25,1,7,18,10,10,,3,5,2,1,1,39,20,19,,8,3,605,361,244,587,343,145,216,139,105,344,231,17,13,105,31,257,224,1,11,11,1,12,1,,,488,196,292,229,92,137,259,104,155,24,15,9,,30,11,74,2
Granada CF,5683,96767,Dimitri Foulquier,Defender,,Dimitri,Foulquier,2,1114,17,17,12,5,2,,16,5,6,,,,,12,1,4,8,1,1,,1,,,,,4,2,2,,1,,297,190,107,293,188,55,153,78,11,182,73,8,34,79,33,117,87,6,13,13,6,2,,,,135,73,62,99,58,41,36,15,21,25,11,14,,25,16,76,3
Granada CF,5683,59963,Maxime Gonalons,Midfielder,,Maxime,Gonalons,4,1509,19,19,17,2,5,,13,5,8,,,,1,21,2,5,16,,,,,,,,,6,4,2,,,,583,473,110,560,454,62,197,149,175,426,81,47,29,279,33,194,78,,1,1,,2,,,,252,136,116,174,99,75,78,37,41,62,38,24,,20,20,120,3
